,C01_MATERIAL
18,DSP 1000D/2 28EPI
29,HDSP 1500D/2 30EPI
280,HDSP 1300D/2 30EPI
382,R 2200D/2 25EPI
426,DSP 1500 D/2 28EPI
1068,R 1650D/2 26EPI
3039,HDSP 1300D/2 28EPI
6096,DSP 1000 D/2 26EPI
6784,
10121,PET 1300D/2 30EPI(SR-7)
10155,Aramid 1500D/2 25EPI (31.5T)
10163,Aramid 1500D/2 25EPI (48T)
10165,P2000D/2 25EPI
11131,SHDSP 850D/2 30EPI (SHDSP : Super High tenacity Dimensionally Stable PET)
13303,P3000 D/2 20EPI
16375,3+8(0.22)HT
17744,P3000D/2 20EPI (HSP80)
20198,DSP 1500D/2 28EPI
20218,Bio-PET 1300D/2 30EPI
8897,HT DSP 1300 D/2 28EPI
18585,R1650D/2 26EPI (Super2)
0,R2200D/2 25EPI (Super2)
19807,Bio-PET 2000D/2 25EPI
